Name,Distance,Rating,Review Count,Latitude,Longitude
Ginger & Chili Restaurant,0.0,3.0,46.0,49.2639293,-123.2064836
Gojo Café,0.0,4.0,61.0,49.2589549,-123.069605
Gold Train Express,0.0,3.5,41.0,49.26355,-123.21015
Grapes & Soda,0.0,4.5,44.0,49.2663232,-123.1396602
Gringo,0.0,4.5,286.0,49.2831553214634,-123.105335897068
Grounds For Coffee,0.0,4.5,139.0,49.2637235,-123.1861003
Guu Original Thurlow,0.0,4.0,798.0,49.2839786648396,-123.125567978574
Guu with Otokomae,0.0,3.5,379.0,49.2847191,-123.11038556296398
Gyu-Kaku Japanese BBQ,0.0,4.0,398.0,49.28031,-123.12467
Hachibei Japanese Restaurant,0.0,4.0,74.0,49.256899,-123.1215336
Haidilao - Vancouver,0.0,4.5,50.0,49.26395,-123.17622
Hail Mary's,0.0,4.5,16.0,49.2623351,-123.0894392
Handi Grill,0.0,3.5,80.0,49.264072,-123.184133
Haraheri,0.0,3.5,267.0,49.280074,-123.125225
Harbour Oyster + Bar,0.0,4.0,76.0,49.2718946138822,-123.069181591272
Havana,0.0,3.5,381.0,49.273708,-123.069271
Hook Restaurant,0.0,3.5,120.0,49.2870144,-123.1419204
Hy's Steakhouse & Cocktail Bar,0.0,4.0,352.0,49.28468,-123.11927
Hydra Estiatorio,0.0,3.5,138.0,49.2856276,-123.1160679
Ignite Pizzeria Mount Pleasant,0.0,4.0,78.0,49.26215691,-123.10085376
Indochine Kitchen,0.0,3.0,115.0,49.2631601,-123.1047
Itosugi Kappo Cuisine,0.0,4.5,16.0,49.264094,-123.184705
JOEY Bentall One,0.0,3.5,236.0,49.2864205554373,-123.118409514427
JOEY Burrard,0.0,4.0,579.0,49.2827851242953,-123.12316775322
Jackson's Meat & Deli,0.0,4.5,64.0,49.2680597,-123.1557696
Jam Cafe,0.0,4.5,238.0,49.2682705,-123.1539827
Jam Cafe on Beatty,0.0,4.5,1403.0,49.2802586,-123.1096376
Jamjar - Folk Lebanese Food,0.0,4.0,261.0,49.264412,-123.0695951
Jingle Bao,0.0,4.0,168.0,49.291609,-123.134917
Jo's Italian Deli,0.0,3.5,34.0,49.2642192,-123.1860777
Johnny’s On Oak,0.0,4.5,10.0,49.25143,-123.12723
Jollibee,0.0,3.5,37.0,49.2628615714721,-123.1151665
Joon's Kitchen,0.0,4.0,59.0,49.25814006151812,-123.1271603431787
Jungle Room,0.0,4.0,14.0,49.289897,-123.138111
Kaide Sushi,0.0,4.5,240.0,49.2742161,-123.1270679
Kin Kao Song,0.0,4.5,31.0,49.2629749,-123.0986667
Kin Kao Thai Kitchen,0.0,4.0,167.0,49.276516,-123.0696335
Kingyo,0.0,4.5,1104.0,49.29073911099211,-123.13705023185994
Kishimoto Japanese Kitchen,0.0,4.5,521.0,49.2665099,-123.06935
Koi Sushi,0.0,4.0,22.0,49.263724,-123.2100351
Kokoro Tokyo Mazesoba,0.0,4.0,459.0,49.2833927,-123.115078
Kosoo Restaurant,0.0,3.5,175.0,49.2890856,-123.1326402
Kozak Ukrainian Restaurant,0.0,4.5,47.0,49.28270380943574,-123.1046559827506
Kozu Sushi Pizza,0.0,4.5,19.0,49.27827,-123.07566
Kulinarya,0.0,4.0,70.0,49.2744901,-123.0693269
L'Abattoir,0.0,4.0,584.0,49.2831869855333,-123.104450140894
L'atelier Patisserie,0.0,4.5,110.0,49.26262317044252,-123.09124371962922
LIFT Bar Grill View,0.0,3.5,306.0,49.2937850399962,-123.12978089218
La Cigale French Bistro,0.0,4.0,150.0,49.2683296,-123.1494293
La Quercia,0.0,4.0,203.0,49.2687649,-123.1853601
Las Margaritas Restaurant,0.0,3.0,404.0,49.2683195,-123.15007987746176
Las Tortas,0.0,4.0,102.0,49.2554,-123.11561
Le Crocodile Restaurant,0.0,4.5,445.0,49.2822815356982,-123.124911131657
Legendary Noodle House,0.0,3.5,229.0,49.2883958,-123.13983
Lin Chinese Cuisine And Tea House,0.0,3.5,233.0,49.263677,-123.1395952
Linh Cafe,0.0,4.0,311.0,49.2746716,-123.12989802
Little Bird Dim Sum,0.0,4.0,85.0,49.26814,-123.17168
Local Public Eatery,0.0,4.0,144.0,49.2835742,-123.1039517
Locarno Park Extension,0.0,4.0,1.0,49.2655211345353,-123.205994032323
Los Cuervos Taqueria Y Cantina,0.0,4.0,184.0,49.2574755005862,-123.091043941677
Lucy's Eastside Diner,0.0,3.0,338.0,49.2609143,-123.1008146
Lumiere Cafe,0.0,4.5,19.0,49.263468,-123.115865
Lunch Lady,0.0,4.0,218.0,49.27497,-123.06915
Lupo,0.0,4.5,446.0,49.27823,-123.1174
Maenam,0.0,4.0,387.0,49.26787,-123.1488979
Maizal RMF,0.0,4.5,146.0,49.2600097,-123.1012988
Mandarin Hong Kong Cafe,0.0,3.5,50.0,49.24863584054912,-123.12525091003072
Marcello,0.0,3.0,340.0,49.27204590144254,-123.06943334795372
Maruhachi Ra-men,0.0,4.5,763.0,49.2905691,-123.1333951
Marulilu Cafe,0.0,4.0,288.0,49.26338,-123.11415
MeeT in Gastown,0.0,4.0,507.0,49.28343624826065,-123.1048494822089
Memphis Blues,0.0,3.5,128.0,49.2723737,-123.0693711
Menya Raizo,0.0,4.0,79.0,49.26336,-123.11314
Miku,0.0,4.5,2267.0,49.28691753455261,-123.11276314110472
Milano Casa Ristorante,0.0,2.5,7.0,49.26392,-123.20583
Minami,0.0,4.0,771.0,49.2752733,-123.1207029
Mix the Bakery,0.0,3.5,48.0,49.263668,-123.2069343
Mogu Fried Chicken,0.0,4.5,28.0,49.2756074483614,-123.069326430559
Monsoon Indian Restaurant,0.0,4.0,18.0,49.25426,-123.11477
Moose's Down Under,0.0,4.0,148.0,49.285638,-123.11634
Mount Everest Kitchen & Grill,0.0,4.5,56.0,49.28343057225757,-123.1142148824853
NUTTEA,0.0,5.0,33.0,49.2679328,-123.14931
Nam San,0.0,4.5,28.0,49.28946,-123.13294
Nemesis Coffee,0.0,4.0,78.0,49.26704079691957,-123.09260254912492
Nero Waffles,0.0,4.5,662.0,49.2907208,-123.1339952
Nightingale,0.0,4.0,492.0,49.2874110331456,-123.117770967577
Noah's Cafe,0.0,4.5,36.0,49.28827635407216,-123.1400279
Noodle Arts,0.0,4.0,75.0,49.29111,-123.13431
Nook,0.0,4.5,309.0,49.2917554,-123.1352974
Novo Italian,0.0,4.0,160.0,49.2666178,-123.1454221
Nuba in Gastown,0.0,4.0,755.0,49.2827625062516,-123.109646101134
O5 Tea,0.0,4.5,92.0,49.2681742,-123.1554777
OEB Breakfast Co. Yaletown,0.0,4.5,804.0,49.2734341,-123.1192724
Ooh La La Donuts,0.0,4.5,3.0,49.263594,-123.206367
Osaka Sushi,0.0,3.5,55.0,49.248529409778,-123.125809548424
Pablo Cheese Tart,0.0,4.0,25.0,49.26338,-123.11592
Palate Kitchen,0.0,4.0,109.0,49.286331,-123.1157402
Patisserie Lebeau,0.0,4.5,125.0,49.2696509840324,-123.144082948565
Paul's Omelettery Restaurant,0.0,4.0,299.0,49.26597,-123.1389
Peaceful Restaurant,0.0,3.5,621.0,49.263147,-123.116143
Peaked Pies,0.0,4.5,200.0,49.2896489,-123.1384797
Phnom Penh,0.0,4.0,1650.0,49.278431,-123.098205
Pho 37,0.0,4.5,33.0,49.28909,-123.13232
Pho Xe Lua 24,0.0,4.0,114.0,49.2554137,-123.1149178
PiDGiN,0.0,4.0,324.0,49.2819071402452,-123.104188653967
Pizzeria Barbarella,0.0,4.0,202.0,49.262323801504,-123.08982824163
Pourhouse Restaurant,0.0,4.0,561.0,49.2841134475502,-123.10842879595
Published On Main,0.0,4.5,119.0,49.25283186017385,-123.10116032897228
Queen Elizabeth Park,0.0,4.5,164.0,49.241763552458494,-123.112624900842
Quizine Kitchen,0.0,5.0,6.0,49.2625351,-123.0806732
Rajio Japanese Public House,0.0,4.0,128.0,49.2636549,-123.1870301
Ramen Danbo,0.0,4.0,438.0,49.26828,-123.146431
RedBeef Noodle Kitchen,0.0,4.0,110.0,49.2681986,-123.1490359
Rice Burger,0.0,4.5,85.0,49.2635568,-123.2089751
Riley's Fish & Steak,0.0,4.0,60.0,49.287641996861865,-123.1151089
Robba da Matti,0.0,4.0,501.0,49.2753397,-123.1208967
Robba da Matti West End,0.0,4.0,69.0,49.29172,-123.13857
Rodney's Oyster House,0.0,4.0,255.0,49.2831349,-123.1030172
Rogue Kitchen & Wetbar,0.0,3.5,148.0,49.263047,-123.117827
Rooster's Ice Cream Bar,0.0,4.0,110.0,49.2625511,-123.0825231
Sahel Market & Restaurant,0.0,4.5,51.0,49.2643454,-123.176155
Sal y Limón,0.0,4.0,651.0,49.2569043786921,-123.08924632997
Salade de Fruits Cafe,0.0,4.0,177.0,49.2655161,-123.1401237
Salmon n' Bannock,0.0,4.5,207.0,49.2631378,-123.1296705
Score on Davie,0.0,4.5,351.0,49.2823221457395,-123.134614739512
Seaport City Seafood Restaurant,0.0,4.0,37.0,49.263921119674905,-123.115152
Seasons In the Park,0.0,4.0,530.0,49.2416705486198,-123.112535476685
Second Cup,0.0,3.5,8.0,49.2450981314324,-123.12436663912466
Shiro,0.0,4.0,245.0,49.25796735722776,-123.11460624110458
Shizen Ya,0.0,4.0,590.0,49.2808844,-123.1246278
Showcase Restaurant & Bar,0.0,4.0,133.0,49.2879858,-123.1204414
Sing Sing,0.0,3.5,126.0,49.2607122038635,-123.100685477257
Six Acres,0.0,4.0,293.0,49.2833119,-123.1044042
Sophie's Cosmic Café,0.0,3.0,304.0,49.2682476,-123.1526039
Sopra Sotto,0.0,4.0,143.0,49.2711051,-123.0694651
Stanley's Bar & Grill,0.0,3.5,108.0,49.2997083,-123.1339011
Starbucks,0.0,4.5,9.0,49.2452587,-123.1275451
Steamworks,0.0,3.5,804.0,49.28498,-123.11084
Straight Outta Brooklyn NYC Pizzeria,0.0,4.0,68.0,49.25682,-123.08919
Subway,0.0,3.5,3.0,49.2639046,-123.204938
Suika,0.0,4.0,534.0,49.26333,-123.1417
Sula Indian Restaurant,0.0,4.0,271.0,49.2745279,-123.0693263
Sun Sushi,0.0,3.5,79.0,49.2637184,-123.2095553
Sunrise Pizza & Steak House,0.0,3.5,80.0,49.2759073,-123.0695552
Superbaba,0.0,4.5,75.0,49.2633297,-123.1012681
Sura Korean Cuisine,0.0,4.0,436.0,49.2888601838143,-123.131742169312
Sushi 7,0.0,4.0,63.0,49.2541464081428,-123.115023834667
Sushi Bar Maumi,0.0,4.0,173.0,49.28996033056277,-123.1336141
Sushi California,0.0,3.5,320.0,49.2630454633729,-123.112614326016
Sushi Jin,0.0,4.5,138.0,49.2795794102629,-123.123817518353
Sushi Mugen,0.0,4.0,119.0,49.2786508,-123.1282232
Sweet Cherubim,0.0,3.5,116.0,49.2746855,-123.0697373
Tabom,0.0,4.0,108.0,49.28906007486266,-123.13187998252948
Takenaka,0.0,4.0,76.0,49.2783093,-123.0755801
Tandoori Palace,0.0,3.5,129.0,49.2717682,-123.0697249
Tap & Barrel - Convention Centre,0.0,4.0,340.0,49.289845529586,-123.116857235515
Taste of Thai,0.0,4.0,82.0,49.2644912,-123.1845067
Tasty Indian Bistro,0.0,4.0,218.0,49.2744011,-123.1236818
Tatta Chulha,0.0,4.5,25.0,49.26307302443682,-123.1018777
Tetsu Sushi Bar,0.0,4.5,102.0,49.2917758,-123.1352662
The Charlatan,0.0,3.5,157.0,49.2717298,-123.0697249
The Eatery,0.0,3.5,522.0,49.2644193,-123.1803953
The Farmer's Apprentice,0.0,3.5,184.0,49.2662176,-123.1395648
The Firewood Café,0.0,4.0,122.0,49.2584924,-123.1148336
The Fish Counter,0.0,4.5,357.0,49.25076,-123.10136
The Flying Pig,0.0,4.0,1312.0,49.27501,-123.122
The Kitchen,0.0,3.5,37.0,49.26351040917396,-123.2089765
The Kitchen Dada,0.0,4.0,41.0,49.264037087133,-123.186078295112
The Lobby Lounge and RawBar,0.0,4.0,117.0,49.28816,-123.11659
The Mexican Antojitos Y Cantina,0.0,4.5,407.0,49.2787726,-123.1240268
The Park Pub,0.0,3.5,69.0,49.28694973954,-123.141087285986
The Pawn Shop YVR,0.0,4.0,162.0,49.2781054,-123.1252051
The Poke Guy,0.0,4.5,206.0,49.2837389,-123.1120629
The PokéMan,0.0,4.5,86.0,49.263233674428754,-123.18671230226757
The Red Accordion,0.0,4.5,82.0,49.29025,-123.131768
The Red Wagon,0.0,4.0,623.0,49.28122323218941,-123.06112288953248
The Templeton,0.0,4.0,533.0,49.2785261,-123.1243982
The Tiki Bar,0.0,4.0,33.0,49.28156,-123.07485
The Wolf & Hound,0.0,3.5,94.0,49.2644878,-123.1842188
Their There,0.0,4.0,118.0,49.2679649501648,-123.151158941154
Thierry,0.0,4.0,957.0,49.2848818,-123.1228949
Tocador,0.0,3.5,49.0,49.261764,-123.1008072
Tokyo In April,0.0,4.5,61.0,49.2806813,-123.1073936
Tom Sushi,0.0,4.5,228.0,49.2815608,-123.1327476
Tonton Sushi,0.0,4.0,74.0,49.2497178,-123.115173
Top of Vancouver Revolving Restaurant,0.0,3.0,381.0,49.28468,-123.11189
Trimble Park,0.0,5.0,1.0,49.2662076800639,-123.205293305218
True Confections,0.0,3.0,124.0,49.2641648618041,-123.181726746261
Twisted Fork,0.0,4.0,1110.0,49.283194,-123.104445
Ukrainian Village,0.0,4.0,171.0,49.2914123,-123.1358196
Uma Sushi,0.0,4.5,118.0,49.2638048,-123.1137294
Unchai Thai Restaurant,0.0,4.5,85.0,49.265112,-123.145913
Urban Tadka,0.0,5.0,9.0,49.27827,-123.07566
Viet Family- The Vegan House,0.0,5.0,22.0,49.27182591723078,-123.06974969875908
Viet House,0.0,3.5,73.0,49.2546156379752,-123.114992380142
Vij's Restaurant,0.0,4.0,402.0,49.25754,-123.11479
Vonns,0.0,4.5,40.0,49.28724,-123.14124
Water Street Cafe,0.0,3.5,320.0,49.2842264,-123.1090181
Westcoast Poke,0.0,4.0,173.0,49.26409,-123.1140415
Won More Szechuan Cuisine,0.0,4.0,79.0,49.28723,-123.14144
Xing Fu Tang Canada,0.0,3.5,151.0,49.254554,-123.1149538
Yasma,0.0,4.5,28.0,49.29337295420655,-123.1321844713631
Yolks,0.0,3.5,355.0,49.2631139,-123.1163529
Yu Shang Hot Pot,0.0,4.5,80.0,49.263149,-123.125629
Yuji's From Japan,0.0,4.0,53.0,49.26829655056762,-123.18604454110448
Zakkushi Dining On Main,0.0,4.0,222.0,49.24910063019759,-123.1015460312003
Zakkushi on Denman,0.0,4.0,258.0,49.29108,-123.13643
Zarak By Afghan Kitchen,0.0,4.5,86.0,49.266224,-123.1006089
iDen & Quan Ju De Beijing Duck House,0.0,3.5,112.0,49.26021,-123.1148451
